post_id,platform,format,status,asset_files,caption_file_or_source,tracking_url,notes
post_001,instagram,carousel,ready,"assets/post-001-carousel-01.png; assets/post-001-carousel-02.png; assets/post-001-carousel-03.png; assets/post-001-carousel-04.png",content-plan.md,https://innerbloomjourney.org/?utm_source=instagram&utm_medium=social&utm_campaign=ib20_mvp&utm_content=post_001&ib_post=001,Upload as carousel
post_002,instagram,static,ready,assets/post-002-static-pain-proposal.png,content-plan.md,https://innerbloomjourney.org/?utm_source=instagram&utm_medium=social&utm_campaign=ib20_mvp&utm_content=post_002&ib_post=002,Upload as single image
